Medicine Name,sideEffect0,sideEffect1,sideEffect2,sideEffect3,sideEffect4,Condition,Content,Substitute,Drug Class,InteractionEffect,NotRecommendedFor,InteractsWith0,InteractsWith1,InteractsWith2
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Obsessive Compulsive Disorder,"Zoloft (sertraline)""30/F. I developed severe anxiety due to obsessive ""bang your head against a wall to make it stop"" intrusive thoughts at age 7. I ""grew out"" of it as I got older, but it hit back in full swing at 18. After years of walking around with a constant stomachache and having obsessive thought-induced panic attacks (all while living a ""normal"" life) I finally went to see a doctor. I started out at 50mg and later bumped up to 100. First few days felt like I had mild morning sickness and brain fog, but faded quickly. The only real lasting symptom is restless legs/sleeplessness at night, and I'd rather be awake and restless than awake and hysterical. I do think about/initiate sex less, but have found that (for me) getting started anyway does the trick.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Liver Disease,Escitalopram,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Depression,"""Been on escitalopram for 5 1/2 weeks not showing any signs of improvement.""",,Antidepressant,Increased drowsiness,Liver Disease,Sertraline,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Panic Disorder,"""10/10. Setraline changed my life. At 43, I was being destroyed by anger, anxiety, depression, and extreme emotionally. I was diagnosed as having PMDD (Premenstrual Dysphoric Disorder) with underlying depression. I was terrified of taking medication; I thought I would be suppressing the True Me. I was wrong. Taking Sertraline was the best decision ever. I am more myself than ever: I've happy and balanced. My husband and friends say I'm a new person. I used to be overwhelmed my emotions. I was always on the verge of tears. I would avoid social situations and conflicts for fear of breaking down and crying. I would obsess on things and throw all out temper tantrums. My husband phoned the police on me. All that stopped when I started taking Sertraline. Best decision ever!""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Diabetes,Escitalopram,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Generalized Anxiety Disorder,"""I'm currently on Remeron 15mg mostly to help me sleep and also taking lorazapam to help me through. I recently tried Effexor, Paxil and Tritellix with no success.I started at 10mg of Lexapro about 8 weeks ago and so far it hasn't done anything for me. I'm actually experiencing for fear but a little less anxiety. My doctor wants me up to 20mg but when I try to increase I get wicked side effects like nausea, runny nose, increased anxiety, abnormal breathing, pounding heart etc. I've been on 15mg for 5 days now and yesterday and today I began to feel nauseous and sleepy. I also woke up feeling depressed. I'm determined to stick it our and jump to 20mg on day 8. I'm encouraged by some of the reviews but some of the others scare me.""",,Antidepressant,Increased drowsiness,Pregnancy,Sertraline,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Depression,"Lexapro (escitalopram)""I've been on Lexapro for 3 weeks now and feel SO much better! Prior to starting the medication I cried numerous times daily, had panic attacks, and just felt hopeless/worthless. My life was terrible and I felt like I couldn't function anymore. This medication has really helped me and I have not noticed any side effects so far! I have not cried once since being on the medication. I have a more positive outlook on life now as well. It's wonderful!""",,Antidepressant,Increased drowsiness,Diabetes,Sertraline,,
Diclofenac,Stomach pain,Nausea,Heartburn,Indigestion,,Osteoarthritis,"""6 days into using this medicine and the pain has gone. As yet no side effects.""",,NSAID,Increased bleeding risk,Diabetes,Aspirin,Ibuprofen,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Depression,"""I feel like I'm starting to come to grips with my life again. It's taken a while and I've been unemployed but hope to secure employment with how happy and upbeat I am with life now. I can only hope things get better, but as we all know, shit will get worse but I think I'll be able to deal with it now. I'm starting to gain the confidence I had when I was 18-19. started the gym at the start of the year, havent been in about 3 weeks but a job and the gym and I think I'll be good.  reading a lot of these comments on here it seems that people aren't giving sertraline a chance. I started off on 50mg, upped to 100mg after a month. its been a long road on the 100mg but my gran and friends have noticed improvements in my happiness""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Kidney Disease,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Depression,"""Such a life-changing drug for me! Was reluctant to start antidepressants, but have been taking 50mg a day for the last 4 months and I am completely back to my pre-depression self. 
I’ve been very lucky with minimal side effects - and the ones I’ve had have actually been beneficial for me! For example, it can give some people a dodgy stomach but I’ve always suffered from constipation and havent had any instances at all since starting sertraline.
It hasn’t affected my sex drive in any way. It takes slightly longer to orgasm, but this has been good too as my orgasms have been more powerful! 
I also need a lot less sleep, which is all great change from being unable to stay awake and having no energy while I was depressed. 
The only negative was at the start the depression got worse before it got better. About 3 weeks in I was the lowest I’d ever been, but suddenly 4 weeks in everything began to lift and I was well. I’ve been happy and healthy since!""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Pregnancy,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Anxiety and StressOff-label,"""I have been on Sertralinefor 8 months for anxiety and stress, I have had some good days, but after the dose was increased to 150mg a day 8 weeks ago, it has been dreadful.  I have  no energy, no interest in anything, trouble sleeping, horrible thoughts, I am worse than when I started it.  Seen the doctor and am slowly coming of it before something awful happens.  Worried about what I will be like after this experience. UK""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Liver Disease,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Depression,"""I’m on 50mg, started 6 weeks ago for depression. The first week I experienced awful side effects including nausea, tiredness, low libido and unable to orgasm, sense of increased depression and dissociation. After a week I had a couple of days feeling euphoric. This passed and I began increasingly to feel a sense of general calm and ability to cope, depressed feelings massively decreased, nausea went but other side effects remained. From 4 weeks on my sex drive returned as has my ability to orgasm. I’m still quite tired and feel as though my emotions are dulled . However I feel so much more able to function with less feelings of depression. I’m pleased with how sertraline is working for me and I’m glad I saw through the initial weeks.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Diabetes,Escitalopram,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Depression,"""I was suffering from intense emotional pain for year's & year's. Had tried to commit suicide so many times I've lost count. This went on & on & on & I was so lost. I'd tried so many different medications & none of them worked. I used to sit in my bedroom rocking backwards and forwards crying everyday. I self harmed so much my arms are now really ugly. Just couldn't die. Then..... escitalapram! Wham! It all went! Just like that. Literally 2 day's later after I started taking them the pain was gone. I've been on them for 5 week's now & I have never been happier! It's like a miracle! I look forward to each day & I'm doing thing's I haven't done for so long again. I can breathe. I'm free! :-)""",,Antidepressant,Increased drowsiness,Diabetes,Sertraline,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Major Depressive Disorder,"Zoloft (sertraline)""I started zoloft in order to treat my depression and it’s worked amazingly. 
Before I started taking zoloft I was having constant suicidal thoughts and urges, I was starving myself, self harming, and would have horrible breakdowns almost daily where I would cry for hours at a time. 
Zoloft didn’t cure my depression completely, but it greatly reduced my most severe symptoms. After a few weeks I realized that the constant inner dialogue telling me to kill myself had stopped, I had no more self harm urges, and I wasn’t having breakdowns every day. On Zoloft I feel like I can experience a normal healthy range of emotions. I still get sad but not to the point where I want to kill or injure myself. I’m currently 2.5 years clean from self harm, I’m eating normally and maintaining a healthy weight, and I feel like I can actually enjoy being alive!""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Pregnancy,Escitalopram,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Anxiety,"Lexapro (escitalopram)""The only thing lexapro did for me is make me realize how good I felt when I wasn’t on it. I was alright for the first 3 days, but on the third night I woke up with heartburn (which I had never had before) and was having a panic attack so severe that I went to the ER. I took lexapro the next day after and I constantly felt nauseous and had no appetite even though I felt like I was starving. I’m getting better after being off of it but I have felt like a zombie ever since I got back from the ER. I only felt side effects from this drug.""",,Antidepressant,Increased drowsiness,Heart Disease,Sertraline,,
